Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent task,Blocked By (Dependencies),Blocking (Dependencies)
"1214227119114821",2026-04-23,,2026-04-30,"Ein Reiter/ Bereich mit nützlichen Tools die wir empfehlen, die den Alltag erleichtern (Buchhaltungsplatform, Werbung erstellen,…)",Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,,,,,,,
"1214227119114825",2026-04-23,,2026-04-30,Ref Funktion Bilder,Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,,,"Beim Reflink noch Bilder dazu herunterladbar 
Wir erstellen gerade Banner die eingebunden werden können in Mails, HP,... die die Ref. Programm Nutzer bei sich hinterlegen können.

",,,,
"1214227119114840",2026-04-23,,2026-05-03,Mehrspraching,Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,,,,,,,
"1214227119114844",2026-04-23,,2026-04-30,Super Pro,Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,,,"    Buchungs-/ Rechnungs-tool
    Auch weitere Positionen hinzufügbar die nicht einzusehen sind
    Homepage/ Domain hinterlegbar (eigener Reiter, QR Code)
    X Visitenkarten grob vorgestaltbar mit QR Code hinten drauf print on demand
    Hoody print on demand
     Begrüßungspaket per Post
",,,,
"1214227119114817",2026-04-23,,2026-04-30,"Suchfunktion bei Züchtern nach Tierart/Rasse ausschließlich mit Züchtungszertifikat, registrierter Züchter (Step 3)",Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,,,"Bereich um Welpen, Adult Hunde, Tierschutzhunde einzustellen, bekommen 
Angebote oder auch gesuche
 ",,,,
"1214227119114863",2026-04-23,,2026-04-30,Profilseiten für Züchter und Vereine,Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,,,"Aufrufbar zum Grob vorstellen.
Sie können später im dafür vorgesehenen Bereich Hunde einstellen, oder weitere Dienstleistungen die sie anbieten.
Ref Programm nutzen ",,,,
"1214227119114836",2026-04-23,,2026-04-30,App version Phase 3 IOS Android,Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,,,,,,,
"1214227119114834",2026-04-23,,2026-04-30,Reiter Fortbildungsmöglichkeiten,Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,,,Vorerst im Marktplatz mit hinterlegt,,,,
"1214227119114823",2026-04-23,,2026-04-30,Kartenansicht,Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,,,auf der Karte anzeigen wo Betreuer/ Dienstleister sind mit freier Kapazität,,,,
"1214427385353869",2026-04-30,,2026-05-05,Webflow Weitere Startseite bitte Datum Fälligkeit ergänzen dann kann Steffi das einplanen,Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,,,,,,,
"1214427385353867",2026-04-30,,2026-05-10,Webflow Betreuer Startseite bitte Datum Fälligkeit ergänzen dann kann Steffi das einplanen,Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,2026-05-10,,,,,,
"1214427385353865",2026-04-30,,2026-05-10,Webflow Tierhalter startseite bitte Datum Fälligkeit ergänzen dann kann Steffi das einplanen,Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,2026-05-10,,,,,,
"1214427385353863",2026-04-30,2026-05-12,2026-05-12,Webflow 1. Seite Startseite bitte Datum Fälligkeit ergänzen dann kann Steffi das einplanen,Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,2026-05-10,,,,,,
"1214385826290028",2026-04-29,,2026-04-29,Übersicht Leads,Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,,,"Name und Vorname kann auf 1 Feld gekürzt werden (egal welches) zeigt es mir ja komplett an, wenn ich den Kontakt öffne.
email adresse kann weiter nach rechts.
Relevanz für mich 
Name, eingetragen am, falls hinterlegt geplanter Urlaub, Anzahl der Tiere, Art von Service 

Beispiel bei geplanter Urlaub gerne in Zahlen z.b. 25.7.-10.8. Telefonnummer kann auch weiter nach rechts (evtl bräuchte ich die an der stelle sogar garnicht sowie die Mail, lass sie gerne mal noch da.)

Bei Art von Serice haben wir Urlaubsbetreuung und Hundepension ( kommt auf das gleiche raus)
evtl müssen wir da nochmal drüber schauen und es klarer definieren, ggf. etwas weg lassen.


Habe im Bild eine Reiterreihenfolge ergänzt die für mich glaube ich recht gut zu lesen wäre

",,,,
"1214385826290022",2026-04-29,,2026-04-29,weitere Buttons Kunden Journey,Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,,,"rechts neben Kontaktiert Button/Batch ""KL"" ""PW"" (Kennenlerntermin) (Probewohnen)
Falls das nicht zu kompliziert wäre als Idee:
Ein Feld zum ausfüllen für KL Termin und PW Termin der für uns in dem Kundenbereich einzusehen ist. 
Wir haben zum Teil Kunden die ein KL Termin hatten, das PW abgesagt haben und später wieder anfragen. ( ohne PW gibt es bei uns keine Betreuung) aktuell schauen wir so immer im Kalender nach, das könnten wir somit noch einsparen und wir sehen auf einen Blick wie lange der Kunde schon zu uns kommt)


",,,,
"1214385356731071",2026-04-29,2026-05-03,2026-05-03,Preise KM/ H,Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,2026-04-30,,,,,,
"1214227083175432",2026-04-23,2026-05-03,2026-05-06,PLZ und Umgebungssuche,Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,,,"Wenn jemand nach Postleitzahl sucht sollte ein ""Umgebungsfilter"" da sein der nahe Dienstleister anzeigt

",,,,
"1214385356731068",2026-04-29,,2026-04-29,Videos und Dateien im FAQ Bereich - Webflow,Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,,,"Auswählbar für wen sichtbar 
Betreuer, Halter,... Alle",,,,
"1214227118398219",2026-04-23,,2026-04-24,AGB anpassen,Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,,,"Hier steht noch die UG

",,,,
"1214227119114846",2026-04-23,,2026-04-23,Videos und Dateien im FAQ Bereich,Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,,,"Auswählbar für wen sichtbar 
Betreuer, Halter,... Alle",,,,
"1214228820884957",2026-04-23,,2026-04-23,Webflow errichten,Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,,,,,,,
"1214228820884962",2026-04-23,,2026-04-23,Startseite umziehen,,,,,,,,,Webflow errichten,,
"1214228820884963",2026-04-23,,2026-04-23,Rechtliche Seiten umziehen,,,,,,,,,Webflow errichten,,
"1214228820884964",2026-04-23,,2026-04-23,Unterseiten umziehen,,,,,,,,,Webflow errichten,,
"1214227118398226",2026-04-23,2026-05-03,2026-05-03,AGB anpassen,Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,2026-04-29,,"Hier steht noch die UG

langsam fängt es mich an zu nerven wenn ich ehrlich bin

",,,,
"1214227118398224",2026-04-23,,2026-04-23,Nachrichtenfuktion aus Adminbereich,Zuletzt zugewiesen,lars.macario@gmail.com,lars.macario@gmail.com,,,,"Aus dem Adminbereich Nachrichten schreiben können an Nutzer wie z.b.b Bitte Bild hinterlegen und freigabe erbitten,...

",,,,
